Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
BENYAR,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,4.1 out of 5 stars,"1,113","₹2,790","₹4,490",(38% off)
Matrix,Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,4.0 out of 5 stars,"2,061",₹299,"₹1,999",(85% off)
Titan,Men's Metropolitan Charm: Men's Multifunctional Black Watch with Metallic Accents-NS1805NM02,4.3 out of 5 stars,167,"₹4,532","₹7,815",(42% off)
TIMEWEAR,Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,3.8 out of 5 stars,"1,620",₹329,"₹1,499",(78% off)
Sonata,Smart Plaid Quartz Analog Black Dial Stainless Steel Strap Watch for Men-NR77105SM02W,4.3 out of 5 stars,422,₹959,"₹1,185",(19% off)
Fastrack,Analog Unisex-Adult Watch,4.1 out of 5 stars,"13,477",₹805,₹895,(10% off)
Boult,"Boult Newly Launched Crown R Pro Smart Watch 1.43''HD AMOLED, Bluetooth Calling, Working Crown, Zinc Alloy Frame, 600 Nits Brightness, AI Voice Assistant, SpO2 Monitoring, 120+ Sports Mode (Jet Black)",4.2 out of 5 stars,197,"₹1,999","₹6,999",(71% off)
Fossil,"Men Leather Grant Sport Analog Blue Dial Watch-Fs5237, Band Color-Blue",4.4 out of 5 stars,"1,241","₹8,746","₹12,495",(30% off)
Boult,"Boult Trail Smart Watch 2.01'' 3D Curved HD Display, BT Calling, Working Crown, 190+Watchfaces, 500 Nits Brightness, AI Voice Assistant, SpO2 Monitoring, 120+ Sports Mode (Raven Black)",4.4 out of 5 stars,435,"₹1,199","₹6,999",(83% off)
V2A,"Stainless Steel Vortex Wheel Rolling Series Men's Analog Watch Open Dial Black Strap Watch Car Wheel-Inspired Design, Hollow Out Elegance Casual Watch for Men | Gift for Men",4.4 out of 5 stars,9,"₹1,690","₹2,999",(44% off)
Noise,"Noise Twist Go Smart Watch 1.39"" Display, TruSyncᵀᴹ BT Calling, Glossy Metal Finish, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, Smart Watch for Men and Women (Jet Black)",4.0 out of 5 stars,"15,665","₹1,399","₹4,999",(72% off)
OLEVS,chronograph Men's Stainless Steel Watch (Blue Dial Silver Colored Strap),3.9 out of 5 stars,529,"₹2,880","₹3,590",(20% off)
SWISSTYLE,Two Tone Chrono Look Analog Stainless Steel Watch-SS-GR6612 For Men,3.4 out of 5 stars,"4,843",₹369,"₹2,999",(88% off)
Casio,Enticer Analog Blue Dial Men's Watch-MTP-VD01D-2EVUDF (A1364),4.3 out of 5 stars,"3,128","₹2,995",na,na
boAt,"boAt Luxury Smart Watch Enigma Orion w/ 1.39”(3.53 cm) HD Display, Functional Crown, Bluetooth Calling, Metal Body, Activity Tracker, Upto 7 Days Battery, Smart Watch for Men & Women(Metal Black)",4.0 out of 5 stars,61,"₹2,499","₹8,999",(72% off)
LOUIS DEVIN,WT030 Leather Strap Analog Wrist Watch for Men,3.7 out of 5 stars,"3,208",₹299,"₹2,399",(88% off)
SWISSTYLE,Black Chain Chrono Look Analog Watch for Men,3.4 out of 5 stars,"5,619",₹369,"₹2,999",(88% off)
Casio,Enticer Men MTP-1302D-2A2VCF Analog Turquoise Blue Dial Men (A2371),4.5 out of 5 stars,61,"₹3,995",na,na
Armani Exchange,"Stainless Steel Analog Black Dial Men's Watch-Ax4180, Band Color:Gold",na,na,"₹14,995",na,na
Sonata,Sonata Poze Quartz Analog Blue Dial Metal Strap Watch for Men-SP70008SM01,4.1 out of 5 stars,34,₹795,"₹1,325",(40% off)
Fossil,Fossil Cuff Chronograph White Dial Men's Watch-CH2565,4.2 out of 5 stars,"10,027","₹10,953.29","₹12,495",(12% off)
V2A,"Adventure Analogue and Digital Sports Watch for Men, Watch for Men, Wrist Watch for Men, Mens Watch, Watch - Multifunction | Gift for Men",3.8 out of 5 stars,"4,233",₹890,"₹1,499",(41% off)
Fastrack,Men Bold Quartz Analog Black Dial Stainless Steel Strap Watch for Guys-NS38051SM07,4.3 out of 5 stars,"1,203","₹1,865","₹1,995",(7% off)
Fastrack,Mens Trendies Quartz Analog Black Dial Silicone Strap Watch for Guys-NS38058PP03,4.3 out of 5 stars,359,"₹1,516","₹1,595",(5% off)
Casio,"Enticer Analog White Dial Men's Watch (MTP-V300L-7AUDF, A1177, Silver)",4.2 out of 5 stars,"1,492","₹3,795",na,na
Carlington,Premium Watch for Men with Black Colored Chain Watch for Men Stainless Steel and Scratch Resistance,4.0 out of 5 stars,317,₹899,"₹4,999",(82% off)
Titan,Classic Silver Dial Analog with Date Leather Strap watch for Men-NS1584SL03,4.3 out of 5 stars,"3,722","₹2,429","₹3,075",(21% off)
boAt,"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Active Blue)",4.0 out of 5 stars,"21,478","₹1,399","₹8,499",(84% off)
Armani Exchange,"Armani Exchange Silicone Analog Blue Dial Men Watch-Ax1335, Blue Band",3.6 out of 5 stars,155,"₹9,995",na,na
Titan,Workwear Green Dial Analog Leather Strap Watch for Men-NS1802NL02,4.2 out of 5 stars,519,"₹2,328","₹3,375",(31% off)
Sonata,Aspire Quartz Analog Black Dial Stainless Steel Strap Watch for Men,5.0 out of 5 stars,3,"₹1,845",na,na
SKMEI,Analog-Digital White Dial Men's Watch-1164 Black,3.7 out of 5 stars,"1,082",₹899,"₹3,199",(72% off)
OLEVS,Watches for Men Analog Quartz Chronograph Watch Moon Phase Waterproof Black Silicone Diamond Dress Luminous Easy Reader Wrist Watches,3.9 out of 5 stars,319,"₹3,420","₹3,900",(12% off)
BENYAR,Automatic Mechanical Skeleton Leather Strap Men's Watch,4.0 out of 5 stars,974,"₹3,990","₹5,999",(33% off)
OLEVS,Watch for Men Analog Quartz Stainless Steel Moon Phase Calendar Chronograph Diamond Watches Waterproof Wrist Watch Luminous,4.2 out of 5 stars,389,"₹3,420","₹3,900",(12% off)
Carlington,Resin Endurance Analog-Digital Sports Watch for Men and Boys - CT9105 Series One,4.2 out of 5 stars,"1,129","₹1,199","₹6,999",(83% off)
TIMEWEAR,Analog Black Silicone Strap Watch for Men,4.1 out of 5 stars,54,₹349,"₹1,599",(78% off)
BOSS,BOSS Center Court Qtz Fashion Chrono Black Round Dial Men's Watch|Stainless Steel Material|Silver Color Band - 1514023,5.0 out of 5 stars,2,"₹17,055","₹28,425",(40% off)
OLEVS,Watch for Men Luxury Dress Analog Quartz Stainless Steel Waterproof Luminous Date Business Two Tone Casual Wrist Watch,4.0 out of 5 stars,483,"₹3,248","₹3,900",(17% off)
SKMEI,Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1787,4.2 out of 5 stars,"1,055","₹1,799","₹6,999",(74% off)
SKMEI,Stainless Steel Men Analog Watch Dual-Display Electronic Watch with Luminous 50M Waterproof Watch Fashion Multifunctional Sports Watch for Men- 1816,3.9 out of 5 stars,728,"₹2,199","₹7,699",(71% off)
Noise,"NoiseFit Halo 1.43"" AMOLED Display, Bluetooth Calling Round Dial Smart Watch, Premium Metallic Build, Always on Display, Smart Gesture Control, 100 Sports Modes (Vintage Brown)",4.1 out of 5 stars,"15,085","₹2,999","₹7,999",(63% off)
SKMEI,"Men's Square Watch, LED Backlight Large Screen Multi-Time Zone Men's Watch, Waterproof Analog Men's Digital Sports Watch - 2020",3.4 out of 5 stars,111,"₹1,749","₹6,699",(74% off)
SKMEI,Men's Watch Fashion Sport Clock Led Digital Watch 2225,na,na,"₹2,999","₹4,999",(40% off)
HORAME,"42mm Green Dial Watch for Men with Snap Lock, Premium Stainless Steel Golden and Silver Chain Watch for Men, Waterproof Quartz Analog Formal Watch for Man, Luxury Bezel Metal Watch for Man",5.0 out of 5 stars,6,₹999,"₹1,999",(50% off)
Fastrack,Fastfit Quartz Analog Grey Dial Silicone Strap Unisex Watch-NS68011PP08,4.2 out of 5 stars,"1,158",₹851,₹945,(10% off)
Noise,"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" TFT Display, SpO2, 100 Sports Mode with Auto Detection, Upto 7 Days Battery (2 Days with Heavy Calling) - Midnight Blue",4.1 out of 5 stars,"17,594","₹1,099","₹4,999",(78% off)
Fastrack,Mens Stunners Quartz Analog Silver Dial Metal Strap Watch for Guys-NR3291SM02,4.2 out of 5 stars,247,₹972,"₹1,595",(39% off)
Noise,"Noise Force Rugged & Sporty 1.32"" Bluetooth Calling Smart Watch, 550 NITS, 7 Days Battery, AI Voice Assistance, Smart Watch for Men (Jet Black)",4.0 out of 5 stars,"9,194","₹1,999","₹5,999",(67% off)
SKMEI,Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1990,4.1 out of 5 stars,"1,645","₹1,799","₹7,699",(77% off)
